"X..Lot.SqFt","Age","Area..","Area.Name","Baths.Full","Baths.Half","Beds.Total","County","DOM","HOA.Fee","List.Price","Listing.Date","Lot.Size","MLS.Number","Parcel.Number","Postal.City","Price.SqFt","Sale.Date","Sale.Price","Sq.Ft.Total","Status","Street.Address","Year.Built","Zip.Code","Zoning","Elementary.School","Elementary.School.District","Elementary.School.District.Code","Elementary.School.ID","Middle.School","Middle.School.ID","High.School","High.School.District","High.School.District.ID","High.School.ID","propertyAddresses","latitude","longitude","latLongConf"
"$ 216.67",59,"19","Sunnyvale",2,0,3,"Santa Clara",11,NA,"$1,300,000","03/26/2017","6,000","ML81643949","313-23-011","Sunnyvale","853.02","04/05/2017","","1,524","Pending","1574 Quail Avenue",1958,94087,"R0","","Santa Clara Unified","483","","","","","Santa Clara Unified","483","","1574 Quail Avenue, Sunnyvale, CA, 94087",37.34234,-122.00532,1
"$ 246.19",63,"413","Parkside",3,0,3,"San Mateo",24,NA,"$1,299,888","02/17/2017","5,280","ML81639292","035-291-190","San Mateo","780.24","04/11/2017","","1,666","Pending","1300 Queens Avenue",1954,94403,"R106","Parkside Elementary","San Mateo-Foster City Elementary","938","666","","","Aragon High","San Mateo Union High","939","602","1300 Queens Avenue, San Mateo, CA, 94403",37.556559,-122.297947,1
"$ 464.71",14,"8","Santa Clara",2,1,3,"Santa Clara",7,125,"$1,299,800","04/05/2017","2,797","ML81645458","097-94-031","Santa Clara","777.86","","","1,671","Active","4169 Marston Lane",2003,95054,"PD","Don Callejon","Santa Clara Unified","483","1,101","","","Santa Clara High","Santa Clara Unified","483","408","4169 Marston Lane, Santa Clara, CA, 95054",37.397201,-121.94854,1
"$ 250.53",77,"321","West of U.S. 101",2,0,4,"San Mateo",0,NA,"$1,299,000","02/13/2017","5,185","ML81635573","063-442-570","East Palo Alto","656.06","","","1,980","Canceled","208 Donohoe Street",1940,94303,"R1","","Ravenswood City Elementary","934","","","","","Sequoia Union High","940","","208 Donohoe Street, East Palo Alto, CA, 94303",37.463633,-122.149852,0.878
"$ 116.49",41,"632","Strand Area",2,0,3,"San Mateo",35,70,"$1,299,000","03/06/2017","11,151","ML81641154","037-123-730","Moss Beach","629.06","04/10/2017","","2,065","Pending","121 Arbor Lane",1976,94038,"R1","","Cabrillo Unified","924","","","","","Cabrillo Unified","924","","121 Arbor Lane, Moss Beach, CA, 94038",37.527778,-122.51533,1
"$ 143.69",61,"10","Willow Glen",2,1,3,"Santa Clara",19,NA,"$1,299,000","03/24/2017","9,040","ML81643698","439-37-030","San Jose","609.86","","","2,130","Active","1135 Koch Lane",1956,95125,"R1-8","Schallenberger Elementary","San Jose Unified","482","375","Willow Glen Middle","343","Willow Glen High","San Jose Unified","482","350","1135 Koch Lane, San Jose, CA, 95125",37.282265,-121.883669,0.878
"$ 185.68",37,"13","Almaden Valley",3,0,5,"Santa Clara",9,NA,"$1,299,000","03/27/2017","6,996","ML81644084","575-39-088","San Jose","530.20","04/05/2017","","2,450","Pending","6619 Marymonte Court",1980,95120,"A-PD","","San Jose Unified","482","","","","","San Jose Unified","482","","6619 Marymonte Court, San Jose, CA, 95120",37.217535,-121.88187,1
"$ 145.79",50,"10","Willow Glen",2,1,4,"Santa Clara",8,NA,"$1,299,000","03/29/2017","8,910","ML81644316","442-08-061","San Jose","549.49","04/06/2017","","2,364","Pending","2373 Loma Park Court",1967,95124,"R1-5","Bagby Elementary","Cambrian Elementary","453","41","Price Charter Middle","46","Branham High","Campbell Union High","473","237","2373 Loma Park Court, San Jose, CA, 95124",37.280723,-121.919935,1
"$ 154.64",117,"15","Campbell",2,0,3,"Santa Clara",3,NA,"$1,299,000","04/04/2017","8,400","ML81645249","279-40-045","Campbell","553.94","04/07/2017","","2,345","Contingent","149 Harrison Avenue",1900,95008,"P-D","","Campbell Union Elementary","454","","","","","Campbell Union High","473","","149 Harrison Avenue, Campbell, CA, 95008",37.289079,-121.94242,0.878
"$ 168.61",53,"10","Willow Glen",2,1,4,"Santa Clara",5,NA,"$1,299,000","04/07/2017","7,704","ML81645886","446-36-005","San Jose","688.39","","","1,887","Active","1582 Marcia Avenue",1964,95125,"R1-8","","San Jose Unified","482","","","","","San Jose Unified","482","","1582 Marcia Avenue, San Jose, CA, 95125",37.280365,-121.899721,1
"$ 209.52",42,"13","Almaden Valley",3,0,5,"Santa Clara",5,NA,"$1,299,000","04/07/2017","6,200","ML81645978","577-38-049","San Jose","552.77","","","2,350","Active","6362 Desert Flame Drive",1975,95120,"R1-5C","Los Alamitos Elementary","San Jose Unified","482","369","Castillero Middle","338","Pioneer High","San Jose Unified","482","348","6362 Desert Flame Drive, San Jose, CA, 95120",37.223948,-121.880824,1
"$ 259.80",77,"331","Lenolt Etc.",1,1,2,"San Mateo",0,NA,"$1,299,000","04/12/2017","5,000","ML81646461","052-111-050","Redwood City","937.91","","","1,385","Active","134 D Street",1940,94063,"R10006","Clifford Elementary","Redwood City Elementary","935","621","","","","Sequoia Union High","940","","134 D Street, Redwood City, CA, 94063",37.493031,-122.241704,1
"$ 526.15",9,"10","Willow Glen",2,1,4,"Santa Clara",31,120,"$1,298,000","03/10/2017","2,467","ML81641824","429-03-080","San Jose","650.95","","","1,994","Withdrawn","906 Willowshire Way",2008,95125,"R1-8","","San Jose Unified","482","","","","","San Jose Unified","482","","906 Willowshire Way, San Jose, CA, 95125",37.309319,-121.896363,1
"$ 259.60",69,"354","Clearfield Park / N Redwood Subdiv",2,0,3,"San Mateo",9,NA,"$1,298,000","03/27/2017","5,000","ML81643997","046-063-140","San Carlos","801.23","04/05/2017","","1,620","Pending","1056 Riverton Drive",1948,94070,"R10006","Arundel Elementary","San Carlos Elementary","937","603","Tierra Linda Middle","1,044","Sequoia High","Sequoia Union High","940","674","1056 Riverton Drive, San Carlos, CA, 94070",37.511696,-122.263154,1
"$ 139.90",39,"27","Alameda County",2,1,3,"Alameda",9,90,"$1,298,000","04/03/2017","9,278","ML81645141","092A-2590-046","Newark","611.40","04/12/2017","","2,123","Pending","5232 Channel Drive",1978,94560,"R-1","","Newark Unified","1,654","","","","","Newark Unified","1,654","","5232 Channel Drive, Newark, CA, 94560",37.553326,-122.03586,1
"$ 390.02",31,"390","FC- Nbrhood#7 - Sea Colony Etc.",2,1,3,"San Mateo",5,491,"$1,298,000","04/07/2017","3,328","ML81645887","097-030-010","Foster City","777.25","","","1,670","Active","34 Williams Lane",1986,94404,"R10000","","San Mateo-Foster City Elementary","938","","","","","San Mateo Union High","939","","34 Williams Lane, Foster City, CA, 94404",37.535932,-122.268835,1
"$ 259.60",28,"620","Lower El Granada",2,1,3,"San Mateo",5,NA,"$1,298,000","04/07/2017","5,000","ML81645939","047-282-130","El Granada","571.81","","","2,270","Active","139 Santa Ana Street",1989,94019,"R10000","","Cabrillo Unified","924","","","","","Cabrillo Unified","924","","139 Santa Ana Street, El Granada, CA, 94019",37.505669,-122.465529,0.737
"$ 201.53",53,"10","Willow Glen",2,0,3,"Santa Clara",7,NA,"$1,199,000","03/08/2017","6,426","ML81641451","446-17-025","San Jose","850.30","03/15/2017","$1,295,000","1,523","Sold","1585 Trona Way",1964,95125,"R1-8","Schallenberger Elementary","San Jose Unified","482","375","Willow Glen Middle","343","Willow Glen High","San Jose Unified","482","350","1585 Trona Way, San Jose, CA, 95125",37.276574,-121.89986,1
"$ 168.62",107,"9","Central San Jose",2,1,3,"Santa Clara",10,NA,"$1,295,000","03/27/2017","7,680","ML81644025","467-39-053","San Jose","575.30","04/06/2017","","2,251","Pending","207 S 16th Street",1910,95112,"R1-8","","San Jose Unified","482","","","","","San Jose Unified","482","","207 S 16th Street, San Jose, CA, 95112",37.340032,-121.872868,0.935
"$ 184.29",41,"607","Alsace Lorraine",2,1,3,"San Mateo",25,NA,"$1,290,000","03/03/2017","7,000","ML81640979","056-112-090","Half Moon Bay","451.05","03/27/2017","","2,860","Pending","546 Alsace Lorraine Avenue",1976,94019,"R10006","Alvin S. Hatch Elementary","Cabrillo Unified","924","601","Manuel F. Cunha Intermediate","654","Half Moon Bay High","Cabrillo Unified","924","1,035","546 Alsace Lorraine Avenue, Half Moon Bay, CA, 94019",37.463387,-122.438363,0.985
"$ 322.22",26,"5","Berryessa",3,0,5,"Santa Clara",4,NA,"$1,288,888","04/07/2017","4,000","ML81645884","241-30-091","San Jose","523.73","04/10/2017","","2,461","Pending","1612 Nobu Drive",1991,95131,"A-PD","","Orchard Elementary","468","","","","","East Side Union High","474","","1612 Nobu Drive, San Jose, CA, 95131",37.385772,-121.885745,1
"$ 179.20",68,"486","Meadow Glen",2,0,3,"San Mateo",9,NA,"$1,288,800","03/29/2017","7,192","ML81644431","021-331-480","Millbrae","820.89","04/06/2017","","1,570","Pending","533 Anita Lane",1949,94030,"R10006","","Millbrae Elementary","932","","","","","San Mateo Union High","939","","533 Anita Lane, Millbrae, CA, 94030",37.599287,-122.406233,1
"$ 234.18",67,"423","San Mateo Village/Glendale Village",2,0,3,"San Mateo",11,NA,"$1,288,000","03/31/2017","5,500","ML81644697","040-225-150","San Mateo","903.86","04/11/2017","","1,425","Pending","504 E 40th Avenue",1950,94403,"R10006","George Hall Elementary","San Mateo-Foster City Elementary","938","635","","","","Sequoia Union High","940","","504 E 40th Avenue, San Mateo, CA, 94403",37.534851,-122.282092,0.941
"$ 240.52",64,"18","Cupertino",1,0,2,"Santa Clara",7,NA,"$1,288,000","04/05/2017","5,355","ML81645413","375-33-015","Cupertino","1,582.31","","","814","Active","18850 Barnhart Avenue",1953,95014,"R1","D. J. Sedgwick Elementary","Cupertino Union","455","94","Warren E. Hyde Middle","81","Cupertino High","Fremont Union High","475","256","18850 Barnhart Avenue, Cupertino, CA, 95014",37.315555,-122.001602,0.878
"$ 75.82",19,"4","Alum Rock",3,1,5,"Santa Clara",6,NA,"$1,288,000","04/06/2017","16,988","ML81645774","612-69-016","San Jose","457.55","","","2,815","Active","1514 Schramm Way",1998,95127,"R1B8","","Mt. Pleasant Elementary","466","","","","","East Side Union High","474","","1514 Schramm Way, San Jose, CA, 95127",37.358967,-121.803476,1
"$ 146.36",63,"350","Alder Manor Etc.",2,0,3,"San Mateo",2,NA,"$1,288,000","04/10/2017","8,800","ML81646093","051-131-260","San Carlos","1,047.15","","","1,230","Active","8 Gaylord Court",1954,94070,"R10006","Clifford Elementary","Redwood City Elementary","935","621","","","Sequoia High","Sequoia Union High","940","674","8 Gaylord Court, San Carlos, CA, 94070",37.489789,-122.263988,1
"$ 368.00",20,"8","Santa Clara",3,0,4,"Santa Clara",2,66,"$1,288,000","04/10/2017","3,500","ML81646104","104-47-036","Santa Clara","553.74","","","2,326","Active","2327 Lass Drive",1997,95054,"PD","Kathryn Hughes Elementary","Santa Clara Unified","483","390","Buchser Middle","406","Santa Clara High","Santa Clara Unified","483","408","2327 Lass Drive, Santa Clara, CA, 95054",37.399154,-121.966051,1
"$ 214.67",0,"5","Berryessa",2,1,3,"Santa Clara",2,NA,"$1,288,000","04/10/2017","6,000","ML81646191","589-21-055","San Jose","671.18","","","1,919","Active","1208 Lodestone Drive",2017,95132,"R1-8","","Berryessa Union Elementary","452","","","","","East Side Union High","474","","1208 Lodestone Drive, San Jose, CA, 95132",37.390728,-121.859763,1
"$ 151.35",54,"27","Alameda County",2,0,3,"Alameda",0,NA,"$1,288,000","04/12/2017","8,510","ML81646484","513-0477-021","Fremont","814.16","","","1,582","Active","42088 Via San Carlos",1963,94539,"r-1","","Fremont Unified","1,307","","","","Mission San Jose High","Fremont Unified","1,307","26,874","42088 Via San Carlos, Fremont, CA, 94539",37.541151,-121.927824,1
"$ 171.61",67,"10","Willow Glen",2,1,5,"Santa Clara",194,NA,"$1,345,000","06/07/2016","7,488","ML81589319","264-61-083","San Jose","390.58","02/21/2017","$1,285,000","3,290","Sold","1343 Willow Street",1949,95125,"r1","Willow Glen Elementary","San Jose Unified","482","380","Willow Glen Middle","343","Willow Glen High","San Jose Unified","482","350","1343 Willow Street, San Jose, CA, 95125",37.304263,-121.910509,1
"$ 232.89",59,"8","Santa Clara",2,0,3,"Santa Clara",8,NA,"$1,100,000","02/28/2017","5,500","ML81640437","220-32-038","Santa Clara","1,035.48","03/08/2017","$1,280,888","1,237","Sold","1663 Natalie Avenue",1958,95051,"R1","Bowers Elementary","Santa Clara Unified","483","382","Juan Cabrillo Middle","405","Adrian Wilcox High","Santa Clara Unified","483","410","1663 Natalie Avenue, Santa Clara, CA, 95051",37.354156,-121.98195,1
"$ 277.60",21,"5","Berryessa",2,1,5,"Santa Clara",9,NA,"$1,185,000","02/09/2017","4,611","ML81637383","244-29-100","San Jose","603.49","02/17/2017","$1,280,000","2,121","Sold","1815 Sonnet Court",1996,95131,"A-PD","","Berryessa Union Elementary","452","","","","","East Side Union High","474","","1815 Sonnet Court, San Jose, CA, 95131",37.398925,-121.881548,1
"$ 124.67",13,"1","Morgan Hill / Gilroy / San Martin",4,1,5,"Santa Clara",8,80,"$1,280,000","03/24/2017","10,267","ML81643865","764-55-020","Morgan Hill","306.07","","","4,182","Active","150 Basil Court",2004,95037,"R1","","Morgan Hill Unified","480","","","","","Morgan Hill Unified","480","","150 Basil Court, Morgan Hill, CA, 95037",37.151464,-121.675595,1
"$ 163.43",38,"15","Campbell",2,0,3,"Santa Clara",6,NA,"$1,279,000","04/06/2017","7,826","ML81645741","403-10-066","Campbell","892.53","","","1,433","Active","959 Crockett Avenue",1979,95008,"R-1-6","","Campbell Union Elementary","454","","","","","Campbell Union High","473","","959 Crockett Avenue, Campbell, CA, 95008",37.273249,-121.97326,0.878
"$ 353.38",39,"14","Cambrian",2,1,4,"Santa Clara",7,220,"$1,149,999","03/01/2017","3,608","ML81640488","419-33-064","San Jose","515.36","03/06/2017","$1,275,000","2,474","Sold","5122 Kozo Place",1978,95124,"R18","Alta Vista Elementary","Union Elementary","471","214","Union Middle","229","Leigh High","Campbell Union High","473","240","5122 Kozo Place, San Jose, CA, 95124",37.24469,-121.926933,1
"$ 354.17",61,"362","Belmont Country Club Etc.",1,0,3,"San Mateo",5,NA,"$1,275,000","04/07/2017","3,600","ML81645849","044 085 010","Belmont","1,225.96","","","1,040","Active","2002 Notre Dame Avenue",1956,94002,"R1","","Belmont-Redwood Shores Elementary","921","","","","","San Mateo Union High","939","","2002 Notre Dame Avenue, Belmont, CA, 94002",37.523271,-122.29699,0.878
"$ 255.00",76,"469","Burlingame Village",2,0,3,"San Mateo",0,NA,"$1,275,000","04/10/2017","5,000","ML81646233","025-232-560","Burlingame","850.00","04/10/2017","$1,275,000","1,500","Sold","1129 Killarney Lane",1941,94010,"R10006","","Burlingame Elementary","923","","","","Burlingame High","San Mateo Union High","939","615","1129 Killarney Lane, Burlingame, CA, 94010",37.593155,-122.378828,1
"$ 199.53",57,"14","Cambrian",3,0,4,"Santa Clara",9,NA,"$1,148,000","02/28/2017","6,365","ML81640386","567-41-041","San Jose","619.51","03/08/2017","$1,270,000","2,050","Sold","1393 Antwerp Lane",1960,95118,"R1-8","Guadalupe Elementary","Union Elementary","471","220","Dartmouth Middle","218","Leigh High","Campbell Union High","473","240","1393 Antwerp Lane, San Jose, CA, 95118",37.240275,-121.890022,1
"$ 209.95",65,"333","Central Park Etc.",1,0,3,"San Mateo",8,NA,"$1,150,000","03/10/2017","6,049","ML81641863","069-061-070","Redwood City","1,133.93","03/17/2017","$1,270,000","1,120","Sold","1565 Maddux Drive",1952,94061,"R10006","Henry Ford Elementary","Redwood City Elementary","935","639","John F. Kennedy Middle","646","","Sequoia Union High","940","","1565 Maddux Drive, Redwood City, CA, 94061",37.457377,-122.2363,1
"$ 153.25",43,"3","Evergreen",2,1,4,"Santa Clara",6,NA,"$1,268,888","04/06/2017","8,280","ML81645731","660-24-027","San Jose","584.74","","","2,170","Active","4127 Ruby Avenue",1974,95135,"R1-5","Evergreen Elementary","Evergreen Elementary","456","103","Chaboya Middle","352","Evergreen Valley High","East Side Union High","474","895","4127 Ruby Avenue, San Jose, CA, 95135",37.310684,-121.772083,1
"$ 151.86",57,"15","Campbell",2,0,3,"Santa Clara",12,NA,"$1,265,000","03/31/2017","8,330","ML81644747","279-13-045","Campbell","680.47","04/10/2017","","1,859","Pending","1300 S Baywood Avenue",1960,95008,"R-1-6","","Campbell Union Elementary","454","","","","","Campbell Union High","473","","1300 S Baywood Avenue, Campbell, CA, 95008",37.15348,-122.139249,0.497
"$ 225.00",68,"15","Campbell",2,0,3,"Santa Clara",1,NA,"$1,199,000","03/21/2017","5,600","ML81643232","303-30-024","San Jose","662.81","03/22/2017","$1,260,000","1,901","Sold","467 Doma Drive",1949,95117,"R1","","Campbell Union Elementary","454","","","","","Campbell Union High","473","","467 Doma Drive, San Jose, CA, 95117",37.31902,-121.960765,1
"$ 218.55",63,"8","Santa Clara",2,0,3,"Santa Clara",7,NA,"$1,088,000","03/16/2017","5,724","ML81642126","294-19-004","Santa Clara","1,112.99","03/22/2017","$1,251,000","1,124","Sold","715 Bucher Avenue",1954,95051,"R1","","Santa Clara Unified","483","","","","","Santa Clara Unified","483","","715 Bucher Avenue, Santa Clara, CA, 95051",37.337552,-121.970142,1
"$ 1,043.49",27,"658","West Sharp Park",3,0,3,"San Mateo",81,NA,"$1,250,000","09/28/2016","1,198","ML81625916","016-050-370","Pacifica","706.21","03/01/2017","$1,250,000","1,770","Sold","1985 Beach Boulevard",1989,94044,"R30000","Ocean Shore Elementary","Pacifica","928","1,039","Ingrid B. Lacy Middle","1,037","Terra Nova High","Jefferson Union High","927","772","1985 Beach Boulevard, Pacifica, CA, 94044",37.634112,-122.494169,1
"$ 28.30",42,"23","Los Gatos Mountains",3,0,4,"Santa Clara",7,NA,"$1,250,000","02/01/2017","44,175","ML81634509","558-22-009","Los Gatos","462.96","03/20/2017","","2,700","Pending","20955 Panorama Drive",1975,95033,"HS","Lexington Elementary","Los Gatos Union Elementary","461","142","Raymond J. Fisher Middle","141","Los Gatos High","Los Gatos-Saratoga Joint Union High","476","262","20955 Panorama Drive, Los Gatos, CA, 95033",37.163022,-121.97039,1
"$ 250.00",85,"427","Beresford Manor Etc.",1,0,2,"San Mateo",10,NA,"$1,195,000","03/06/2017","5,000","ML81641142","039-172-100","San Mateo","1,024.59","03/16/2017","$1,250,000","1,220","Sold","220 26th Avenue",1932,94403,"R10006","","San Mateo-Foster City Elementary","938","","","","","San Mateo Union High","939","","220 26th Avenue, San Mateo, CA, 94403",37.542701,-122.309363,0.927
"$ 195.74",67,"10","Willow Glen",2,0,3,"Santa Clara",9,NA,"$1,250,000","03/14/2017","6,386","ML81642214","439-05-032","San Jose","790.14","03/22/2017","","1,582","Pending","1233 Hermosa Way",1950,95125,"R1-8","Booksin Elementary","San Jose Unified","482","358","Willow Glen Middle","343","Willow Glen High","San Jose Unified","482","350","1233 Hermosa Way, San Jose, CA, 95125",37.290709,-121.892756,1
"$ 94.66",65,"19","Sunnyvale",1,0,3,"Santa Clara",10,NA,"$1,250,000","03/20/2017","13,205","ML81643085","211-11-013","Sunnyvale","1,028.81","04/07/2017","","1,215","Contingent","805 Gary Avenue",1952,94086,"R1B2","Braly Elementary","Santa Clara Unified","483","384","Marian A. Peterson Middle","1,103","Adrian Wilcox High","Santa Clara Unified","483","410","805 Gary Avenue, Sunnyvale, CA, 94086",37.359015,-122.018016,1
"$ 155.28",38,"13","Almaden Valley",2,0,4,"Santa Clara",8,NA,"$1,250,000","03/28/2017","8,050","ML81644168","701-56-040","San Jose","627.83","04/05/2017","","1,991","Pending","1053 Belder Drive",1979,95120,"R1-5","Graystone Elementary","San Jose Unified","482","366","Bret Harte Middle","339","Leland High","San Jose Unified","482","346","1053 Belder Drive, San Jose, CA, 95120",37.202373,-121.835128,1
"$ 206.61",47,"15","Campbell",2,0,3,"Santa Clara",7,NA,"$1,250,000","03/30/2017","6,050","ML81644520","40417032","Campbell","777.85","04/04/2017","","1,607","Pending","4015 Twyla Lane",1970,95008,"Residential","Gussie M. Baker Elementary","Moreland Elementary","464","149","Moreland Middle","35,652","Westmont High","Campbell Union High","473","242","4015 Twyla Lane, Campbell, CA, 95008",37.278157,-121.97162,1
"$ 209.14",97,"9","Central San Jose",2,0,2,"Santa Clara",4,NA,"$1,100,000","03/30/2017","5,977","ML81644392","261-26-057","San Jose","739.21","04/03/2017","$1,250,000","1,691","Sold","1299 Yosemite Avenue",1920,95126,"R1-8","Merritt Trace Elementary","San Jose Unified","482","381","Herbert Hoover Middle","340","Abraham Lincoln High","San Jose Unified","482","347","1299 Yosemite Avenue, San Jose, CA, 95126",37.327908,-121.913945,1
"$ 190.64",78,"10","Willow Glen",2,1,2,"Santa Clara",9,NA,"$1,250,000","03/30/2017","6,557","ML81644607","264-58-068","San Jose","789.14","04/08/2017","","1,584","Contingent","1139 El Abra",1939,95125,"R1-8","Willow Glen Elementary","San Jose Unified","482","380","Willow Glen Middle","343","Willow Glen High","San Jose Unified","482","350","1139 El Abra, San Jose, CA, 95125",37.308551,-121.903011,0.894
"$ 176.88",58,"18","Cupertino",2,0,3,"Santa Clara",7,NA,"$1,250,000","04/05/2017","7,067","ML81645431","381-25-088","San Jose","1,111.11","","","1,125","Active","5103 Englewood Drive",1959,95129,"R1-8","Country Lane Elementary","Moreland Elementary","464","153","Moreland Middle","35,652","Prospect High","Campbell Union High","473","241","5103 Englewood Drive, San Jose, CA, 95129",37.300752,-121.991329,1
"$ 167.25",60,"10","Willow Glen",2,1,3,"Santa Clara",1,NA,"$1,250,000","04/11/2017","7,474","ML81646368","439-44-016","San Jose","664.19","","","1,882","Active","1298 Avalon Drive",1957,95125,"R1-8","Schallenberger Elementary","San Jose Unified","482","375","Willow Glen Middle","343","Willow Glen High","San Jose Unified","482","350","1298 Avalon Drive, San Jose, CA, 95125",37.278134,-121.888256,1
"$ 12.69",29,"1","Morgan Hill / Gilroy / San Martin",3,0,4,"Santa Clara",129,NA,"$1,249,000","11/28/2016","98,446","ML81632742","835-29-009","Gilroy","470.08","04/06/2017","","2,657","Contingent","9420 Sugar Babe Drive",1987,95020,"HS","Rucker Elementary","Gilroy Unified","478","1,077","Solorsano Middle","1,075","Christopher High School","Gilroy Unified","478","2,592","9420 Sugar Babe Drive, Gilroy, CA, 95020",37.04649,-121.534946,0.902
"$ 249.80",69,"354","Clearfield Park / N Redwood Subdiv",2,0,3,"San Mateo",14,NA,"$1,249,000","03/27/2017","5,000","ML81643937","046-071-080","San Carlos","726.16","04/10/2017","","1,720","Contingent","1012 Sylvan Drive",1948,94070,"R10006","Arundel Elementary","San Carlos Elementary","937","603","Tierra Linda Middle","1,044","Carlmont High","Sequoia Union High","940","617","1012 Sylvan Drive, San Carlos, CA, 94070",37.511258,-122.261353,1
"$ 192.15",86,"334","High School Acres Etc.",2,1,3,"San Mateo",6,NA,"$1,249,000","04/06/2017","6,500","ML81645791","052-134-070","Redwood City","507.72","","","2,460","Active","145 Hudson Street",1931,94062,"R10006","","Redwood City Elementary","935","","","","","Sequoia Union High","940","","145 Hudson Street, Redwood City, CA, 94062",37.483163,-122.24347,1
"$ 208.69",58,"15","Campbell",2,0,3,"Santa Clara",0,NA,"$1,249,000","04/12/2017","5,985","ML81646466","403-26-082","San Jose","821.17","","","1,521","Active","4941 Montreal Drive",1959,95130,"R1-8","","Campbell Union Elementary","454","","","","","Campbell Union High","473","","4941 Montreal Drive, San Jose, CA, 95130",37.275549,-121.987049,1
"$ 78.06",36,"1","Morgan Hill / Gilroy / San Martin",3,0,4,"Santa Clara",0,34,"$1,249,000","04/12/2017","16,000","ML81646501","729-24-017","Morgan Hill","406.58","","","3,072","Active","15850 Jackson Oaks Drive",1981,95037,"RPC","Jackson Academy of Math and Music","Morgan Hill Unified","480","297","","","","Morgan Hill Unified","480","","15850 Jackson Oaks Drive, Morgan Hill, CA, 95037",37.14744,-121.588807,1
"$ 261.86",31,"27","Alameda County",2,1,4,"Alameda",35,NA,"$1,248,800","02/23/2017","4,769","ML81639931","543-0442-125","Fremont","558.50","03/29/2017","","2,236","Pending","4605 Celia Court",1986,94555,"R","Ardenwood Elementary","Fremont Unified","1,307","26,918","","","","Fremont Unified","1,307","","4605 Celia Court, Fremont, CA, 94555",37.571172,-122.050139,1
"$ 136.02",37,"13","Almaden Valley",2,0,4,"Santa Clara",8,NA,"$1,245,000","03/30/2017","9,153","ML81644553","567-66-024","San Jose","632.62","04/06/2017","","1,968","Pending","1523 Foster Court",1980,95120,"A-PD","Guadalupe Elementary","Union Elementary","471","220","Dartmouth Middle","218","","Campbell Union High","473","","1523 Foster Court, San Jose, CA, 95120",37.229679,-121.898928,1
"$ 233.43",15,"12","Blossom Valley",4,1,5,"Santa Clara",35,NA,"$1,240,000","03/08/2017","5,312","ML81641610","694-30-075","San Jose","364.81","","","3,399","Active","5949 Taormino Avenue",2002,95123,"A1H","Allen at Steinbeck","San Jose Unified","482","355","Castillero Middle","338","Gunderson High","San Jose Unified","482","345","5949 Taormino Avenue, San Jose, CA, 95123",37.241258,-121.856589,1
"$ 317.44",18,"6","Milpitas",3,0,5,"Santa Clara",15,143,"$1,238,000","03/02/2017","3,900","ML81640740","086-48-002","Milpitas","537.33","03/17/2017","","2,304","Pending","868 Cameron Circle",1999,95035,"R1","Robert Randall Elementary","Milpitas Unified","479","284","Rancho Milpitas Junior High","283","Milpitas High","Milpitas Unified","479","293","868 Cameron Circle, Milpitas, CA, 95035",37.432023,-121.889749,0.878
"$ 309.00",76,"416","Bowie Estate Etc.",2,0,3,"San Mateo",7,NA,"$988,800","03/02/2017","4,000","ML81640782","033-062-070","San Mateo","767.70","03/09/2017","$1,236,000","1,610","Sold","737 E Santa Inez Avenue",1941,94401,"R20000","","San Mateo-Foster City Elementary","938","","","","","San Mateo Union High","939","","737 E Santa Inez Avenue, San Mateo, CA, 94401",37.574703,-122.32573,1
"$ 191.15",54,"15","Campbell",2,0,3,"Santa Clara",2,NA,"$1,235,000","04/10/2017","6,461","ML81646193","406-13-014","Campbell","832.21","","","1,484","Active","945 Torero Plaza",1963,95008,"R-1-6","Capri Elementary","Campbell Union Elementary","454","51","Rolling Hills Middle","63","Westmont High","Campbell Union High","473","242","945 Torero Plaza, Campbell, CA, 95008",37.269984,-121.966144,1
"$ 198.07",72,"10","Willow Glen",3,0,4,"Santa Clara",12,NA,"$1,199,888","02/16/2017","6,210","ML81639250","264-47-092","San Jose","597.67","02/25/2017","$1,230,000","2,058","Sold","381 Atlanta Avenue",1945,95125,"R1-8","Willow Glen Elementary","San Jose Unified","482","380","","","Abraham Lincoln High","San Jose Unified","482","347","381 Atlanta Avenue, San Jose, CA, 95125",37.316066,-121.892288,1
"$ 215.83",109,"10","Willow Glen",3,0,4,"Santa Clara",19,NA,"$1,199,000","02/24/2017","5,699","ML81640113","264-46-168","San Jose","601.76","03/14/2017","$1,230,000","2,044","Sold","520 Coe Avenue",1908,95125,"R1-8","","San Jose Unified","482","","","","","San Jose Unified","482","","520 Coe Avenue, San Jose, CA, 95125",37.315195,-121.895658,1
"$ 160.64",40,"13","Almaden Valley",2,0,3,"Santa Clara",6,NA,"$1,228,888","04/06/2017","7,650","ML81644081","701-48-015","San Jose","745.23","","","1,649","Active","6963 Queenswood Way",1977,95120,"R1-1P","Graystone Elementary","San Jose Unified","482","366","Bret Harte Middle","339","Leland High","San Jose Unified","482","346","6963 Queenswood Way, San Jose, CA, 95120",37.207479,-121.832909,1
"$ 105.86",45,"13","Almaden Valley",2,0,3,"Santa Clara",7,NA,"$1,228,000","03/29/2017","11,600","ML81644353","583-07-051","San Jose","695.36","04/04/2017","","1,766","Pending","1165 Rajkovich Way",1972,95120,"R1B1","Williams Elementary","San Jose Unified","482","379","Bret Harte Middle","339","Leland High","San Jose Unified","482","346","1165 Rajkovich Way, San Jose, CA, 95120",37.208294,-121.851151,0.878
